fea0,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,WTSPR,WLSPR,ALSPR/ATSPR,TSPR-FMHW,LSPR-FMHW
0.8,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,524.5,640,0.908750393,51.43883,53.20872
1,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,517,691,1.691179,51.06995,119.84533
1.2,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,524,685.5,1.04732834,57.01195,124.49602
1.4,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,527.5,773,0.567314247,66.64694,279.91066
1.6,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,527.5,798,0.63607372,67.61428,223.92385
1.8,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,527.5,890.5,0.296491339,70.08999,379.15343
0.8,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,523.5,602.5,1.179024667,37.33468,79.10283
2,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,542,1044.5,0.51053282,73.31672,230.12576
1.4,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,545.5,931.5,0.770021288,75.1136,210.45991
1.4,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,537,845,0.554842117,70.03201,237.94503
1.6,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,538,910,1.103981484,73.22901,230.43519
1.8,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,539,937,0.615776596,72.83407,237.60264
0.8,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,517,701,2.194920906,49.94881,127.39018
1,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,515,767,2.647730054,59.56527,168.90811
1.2,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,546,928,1.110988891,78.39947,169.84839
